zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Blue Moon;Blue Moon Belgian White Lata 473 ml;473 ml;5299;5299;0
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5199;5199;0
Nunez;Blonde;Santa Fe Cerveza Rubia;473 ml;3009;3009;0
Nunez;Warsteiner;Warsteiner Cerveza 330 ml;330 ml;3509;3509;0
Nunez;Heineken;Heineken Cerveza 0.0 Lata 330ml;330 ml;3609;3609;0
Nunez;Kunstmann;Cerveza Kunstmann Session Ipa 470ml;470 ml;5019;5019;0
Nunez;Estrella Galicia;Estrella Galicia Cerveza sin Gluten Lata 330ml;330 ml;3619;3619;0
Nunez;Estrella Damm;Estrella Damm Cerveza;500 ml;2639;2639;0
Nunez;Imperial;Imperial Golden Lata 710ml;710 ml;5099;5099;0
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4599;3219.3;30
Nunez;Corona;Corona Cerveza Rubia;710 ml;7810;5857.5;25
Nunez;Corona;Corona Cerveza Tipo Lager;330 ml;4989;3741.75;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3829;2680.3;30
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6879;4127.4;40
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3749;2811.75;25
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4369;3713.65;15
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3679;2759.25;25
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3049;2439.2;20
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4519;3389.25;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2439;2439;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3719;2789.25;25
Nunez;Stella Artois;Stella Artois Cerveza Rubia;473 ml;4619;3464.25;25
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3199;2239.3;30
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3719;2231.4;40
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7759;5819.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5669;4251.75;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7729;5796.75;25
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4089;2453.4;40
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3729;3729;0
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4569;3198.3;30
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3199;2239.3;30
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3519;3519;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Miller;Cerveza Miller;473 ml;3949;2171.95;45
Nunez;Corona;Corona Cerveza;473 ml;5179;3884.25;25
Nunez;Patagonia;Cerveza Patagonia 24.7 473 cc;473 ml;5709;4281.75;25
Nunez;Grolsch;Grolsch Cerveza Pilsner;473 ml;4509;4509;0
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón;473 ml;3079;3079;0
Nunez;Schneider;Schneider Cerveza Rubia Lager;473 ml;3079;3079;0
Nunez;Amstel;Amstel Cerveza Lager;710 ml;4519;2937.35;35
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 cc;473 ml;5439;4079.25;25
Nunez;Miller;Miller Genuine Draft Cerveza;330 ml;4318.44;2375.14;45
Nunez;Miller;Miller Cerveza Genuine Draft en Lata;710 ml;5939;5048.15;15
Nunez;Budweiser;Cerveza Budweiser 473 cc;473 ml;3239;2429.25;25
Nunez;Brahma;Cerveza Brahma Chopp Lata 354mlx1;354 ml;1899;1899;0
Nunez;Quilmes 0;Cerveza Quilmes 0% 473 cc;473 ml;2359;1651.3;30
Nunez;Rabieta;Rabieta Cerveza Helles Munich;473 ml;4059;2029.5;50
Nunez;Michelob Ultra;Michelob Ultra Cerveza;275 ml;4279;3423.2;20
Nunez;Stella Artois;Stella Artois Cerveza Premium Lager;710 ml;6849;5136.75;25
Nunez;Blue Moon;Blue Moon Cerveza Belgian White;355 ml;5889;5889;0
Nunez;Rabieta;Rabieta Cerveza Golden Ale;473 ml;4069;2034.5;50
