zona;marca;descripcion;calibre;fleje;precio;descuento
Nunez;Heineken;Heineken Cerveza Rubia;473 ml;4589;4589;0
Nunez;Corona;Corona Cerveza Rubia;710 ml;7810;5857.5;25
Nunez;Corona;Corona Cerveza Tipo Lager 330 ml;330 ml;4989;3741.75;25
Nunez;Corona 0;Corona Cerveza Cero;330 ml;3779;2645.3;30
Nunez;Heineken;Heineken Cerveza Rubia en Lata;710 ml;6909;5872.65;15
Nunez;Andes Origen;Cerveza Andes Origen Ipa 473 cc;473 ml;3789;2273.4;40
Nunez;Schneider;Schneider Cerveza Lager;710 ml;4419;4419;0
Nunez;Heineken;Heineken Cerveza Original;330 ml;4909;4909;0
Nunez;Rabieta;Rabieta Cerveza Irish Red Ale;473 ml;4069;3458.65;15
Nunez;Andes Origen;Cerveza Andes Origen Rubia 473 cc;473 ml;3669;2201.4;40
Nunez;Michelob Ultra;Michelob Cerveza Light Ultra;473 ml;3209;2085.85;35
Nunez;Stella Artois;Stella Artois Cerveza;330 ml;4509;3381.75;25
Nunez;1890;1890 Cerveza Rubia;473 ml;2439;2439;0
Nunez;Stella Artois 0;Cerveza Stella Artois 0% 473 cc;473 ml;3769;2826.75;25
Nunez;Amstel;Amstel Cerveza Lager Pura Malta;473 ml;3139;3139;0
Nunez;Heineken;Heineken Cerveza Sin Alcohol;473 ml;3769;3015.2;20
Nunez;Andes Origen;Cerveza Andes Origen Roja 473 cc;473 ml;3659;2744.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 730 cc;730 ml;7819;5864.25;25
Nunez;Patagonia;Cerveza Patagonia Amber Lager 473 cc;473 ml;5709;4281.75;25
Nunez;Patagonia;Cerveza Patagonia Ipa 730 cc;730 ml;7729;6183.2;20
Nunez;Rabieta;Rabieta Cerveza Red Honey;473 ml;4089;3475.65;15
Nunez;Imperial;Imperial Cerveza Roja Amber Lager Lata;473 ml;3759;2631.3;30
Nunez;Antares;Antares Cerveza Artesanal Honey;473 ml;4629;4629;0
Nunez;Quilmes;Cerveza Quilmes Ipa 473 cc;473 ml;2849;2849;0
Nunez;Pampa;Pampa Brewing Amber Ale Lata 473ml;473 ml;3189;2710.65;15
Nunez;Antares;Antares Cerveza Scotch;473 ml;4709;4709;0
Nunez;Kunstmann;Kunstmann Torobayo Lata 470ml;470 ml;5179;5179;0
Nunez;Salta;Salta Cerveza Cautiva Roja;473 ml;3529;3529;0
Nunez;Imperial;Imperial Cerveza Sin Alcohol Roja;355 ml;1399;1399;0
Nunez;Guinnes;Guinness Cerveza Extra Stout;473 ml;4749;4036.65;15
Nunez;Quilmes;Cerveza Quilmes Stout 473 cc;473 ml;2849;2279.2;20
Nunez;Imperial;Imperial Cerveza Negra Cream Stout en Lata;473 ml;3769;2638.3;30
Nunez;Stella Artois;Cerveza Stella Artois Noire 473 cc;473 ml;4409;3306.75;25
Nunez;Pampa;Pampa Brewing Nitro Cream Stout 473ml;473 ml;3519;2991.15;15
Nunez;Andes Origen;Andes Origen Cerveza Negra en Lata;473 ml;3709;2781.75;25
Nunez;Quilmes;Cerveza Quilmes Bajo Cero;473 ml;1829;1829;0
Nunez;Miller;Cerveza Miller;473 ml;3979;3979;0
Nunez;Patagonia;Cerveza Patagonia 24.7 473 cc;473 ml;5699;3419.4;40
Nunez;Imperial;Imperial Cerveza Ipa;473 ml;3819;2673.3;30
Nunez;Grolsch;Grolsch Cerveza Pilsner;473 ml;4519;4519;0
Nunez;Quilmes;Cerveza Quilmes Clásica 473 cc;473 ml;2839;2129.25;25
Nunez;Schneider;Schneider Bebida Refrescante Remix Limón;473 ml;3079;3079;0
Nunez;Schneider;Schneider Cerveza Rubia Lager;473 ml;3019;3019;0
Nunez;Amstel;Amstel Cerveza Lager;710 ml;4479;4479;0
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 cc;473 ml;5459;3275.4;40
Nunez;Imperial;Imperial Cerveza Sin Alcohol Golden;473 ml;2409;1565.85;35
Nunez;Guinness;Cerveza Guinness Hop House;473 ml;4099;2459.4;40
Nunez;Bitburger;Bitburger Cerveza;330 ml;4939;4939;0
Nunez;Pampa;Pampa Brewing Cerveza Honey Lata 473 ml;473 ml;3159;1895.4;40
Nunez;Pampa;Pampa Brewing Cerveza IPA Lata 473 ml;473 ml;3529;2999.65;15
Nunez;Antares;Antares Kolsch Cerveza;473 ml;4799;4799;0
Nunez;Salta;Salta Cautiva Cerveza Rubia;473 ml;3519;3519;0
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 473 cc;473 ml;5719;4289.25;25
Nunez;Patagonia;Cerveza Patagonia Lager Del Sur 730 cc;730 ml;7859;5894.25;25
